"1. If you are happy to proceed with the experiment, please click below to provide your consent.",2. Please enter your Prolific ID to continue:,3. Please tell us whether you identify as a:,4. How old are you?,5. Please indicate which hand you use for the following activities or objects:,5.1. Writing,5.2. Drawing,5.3. Throwing,5.4. Scissors,5.5. Toothbrush,5.6. Knife (without fork),5.7. Spoon,5.8. Broom (upper hand),5.9. Striking match (match),5.10. Opening box (lid),StartDate,CompletionDate
I give my consent to take part in the experiment,60ff1233ba764c3de1cf31a1,Man,24,,Always right,Always right,Usually right,Usually right,Both equally,Usually right,Usually right,Usually right,Usually right,Both equally,2022-10-17 11:23:00 UTC,2022-10-17 11:24:43 UTC
I give my consent to take part in the experiment,615edbdae7feeb515b7f2a79,Woman,34,,Always right,Always right,Usually right,Always right,Usually right,Always right,Always right,Always right,Always right,Usually right,2022-10-17 11:24:05 UTC,2022-10-17 11:25:18 UTC
I give my consent to take part in the experiment,6145ef2c66351c745a2e9a68,Man,39,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Both equally,2022-10-17 11:23:05 UTC,2022-10-17 11:25:54 UTC
I give my consent to take part in the experiment,60a54940b6b52c0adaeb31d6,Woman,25,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always right,Usually right,Both equally,2022-10-17 11:23:40 UTC,2022-10-17 11:26:10 UTC
I give my consent to take part in the experiment,611e1eee7989eadcee23045c,Woman,28,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-17 11:23:35 UTC,2022-10-17 11:26:54 UTC
I give my consent to take part in the experiment,614719d2203cf5a09b786004,Man,29,,Always right,Always right,Always right,Always right,Always right,Both equally,Usually right,Both equally,Both equally,Usually left,2022-10-17 11:23:08 UTC,2022-10-17 11:27:18 UTC
I give my consent to take part in the experiment,610140be5916936837972940,Woman,19,,Always right,Usually right,Usually right,Always right,Both equally,Always right,Usually right,Usually right,Always right,Both equally,2022-10-17 11:24:56 UTC,2022-10-17 11:27:18 UTC
I give my consent to take part in the experiment,6025df3ed83eed206142329a,Woman,22,,Always left,Always left,Usually left,Always left,Always left,Usually left,Always left,Always left,Both equally,Both equally,2022-10-17 11:22:56 UTC,2022-10-17 11:27:29 UTC
I give my consent to take part in the experiment,6130d846086f43ecd225d128,Man,25,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,Usually right,Usually right,2022-10-17 11:49:21 UTC,2022-10-17 11:51:13 UTC
I give my consent to take part in the experiment,6102de6a11e4443a9ec8717e,Man,19,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-17 11:50:27 UTC,2022-10-17 11:52:13 UTC
I give my consent to take part in the experiment,5bb511c6689fc5000149c703,Woman,46,,Always left,Usually left,Both equally,Always left,Usually left,Usually left,Always left,Usually left,Usually left,Both equally,2022-10-17 11:54:52 UTC,2022-10-17 11:58:28 UTC
I give my consent to take part in the experiment,60fc39cce64c39328a7c8904,Man,26,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-17 12:00:52 UTC,2022-10-17 12:01:31 UTC
I give my consent to take part in the experiment,60b4b71ea2fc6f6e6c3ba96b,Man,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,2022-10-19 11:45:28 UTC,2022-10-19 11:47:22 UTC
I give my consent to take part in the experiment,60cdc880e45d55a792e1d315,Woman,23,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always left,Always right,Both equally,2022-10-19 11:45:01 UTC,2022-10-19 11:48:07 UTC
I give my consent to take part in the experiment,5efc4c06d5d77c0008dd1792,Woman,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 11:47:11 UTC,2022-10-19 11:49:02 UTC
I give my consent to take part in the experiment,5f4f5fa9cb9a39000c600ad3,Man,43,,Always right,Always right,Always right,Always right,Usually right,Both equally,Always right,Always left,Always right,Both equally,2022-10-19 11:45:34 UTC,2022-10-19 11:58:22 UTC
I give my consent to take part in the experiment,61348ef2946cbdbf17d81135,Woman,24,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 11:56:19 UTC,2022-10-19 11:59:10 UTC
I give my consent to take part in the experiment,5c4318404d76b1000173d466,Man,21,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always right,Usually right,Usually right,2022-10-19 11:44:53 UTC,2022-10-19 12:00:55 UTC
I give my consent to take part in the experiment,6303c0bf11a5be642b52830e,Woman,34,,Always left,Always left,Usually right,Always left,Always left,Always left,Always left,Both equally,Always left,Both equally,2022-10-19 12:16:57 UTC,2022-10-19 12:17:59 UTC
I give my consent to take part in the experiment,5f773f5c429e260d39fa39e8,Man,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:16:58 UTC,2022-10-19 12:17:59 UTC
I give my consent to take part in the experiment,61111c7119685115533c1d36,Woman,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:02 UTC,2022-10-19 12:18:00 UTC
I give my consent to take part in the experiment,58eec50e45de510001b5dcef,Man,29,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:16:59 UTC,2022-10-19 12:18:07 UTC
I give my consent to take part in the experiment,60f0bec2877bd89c52cf40ad,Woman,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:05 UTC,2022-10-19 12:18:12 UTC
I give my consent to take part in the experiment,5f01b7e94738d231487f2911,Man,31,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,Always right,Usually right,2022-10-19 12:17:00 UTC,2022-10-19 12:18:18 UTC
I give my consent to take part in the experiment,5f5f381a671929022832eef6,Woman,44,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,2022-10-19 12:17:17 UTC,2022-10-19 12:18:19 UTC
I give my consent to take part in the experiment,5dd2759d98981d2840e20a09,Man,21,,Always right,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always right,Usually right,2022-10-19 12:17:02 UTC,2022-10-19 12:18:23 UTC
I give my consent to take part in the experiment,60e0242684e7e904f9a0f9bb,Woman,22,,Always right,Always right,Usually right,Always right,Usually right,Always right,Always right,Usually right,Usually right,Usually right,2022-10-19 12:17:18 UTC,2022-10-19 12:18:26 UTC
I give my consent to take part in the experiment,631f2c2f600004fca004a8cd,Woman,28,,Always right,Always right,Always right,Always right,Usually right,Always right,Always right,Usually right,Always right,Both equally,2022-10-19 12:17:34 UTC,2022-10-19 12:18:27 UTC
I give my consent to take part in the experiment,5f42bd83013b2c0e0ec51abf,Man,22,,Always right,Always right,Always right,Both equally,Always right,Always right,Always right,Always right,Always right,Both equally,2022-10-19 12:17:01 UTC,2022-10-19 12:18:27 UTC
I give my consent to take part in the experiment,5a706cc5efd3a7000120ff3e,Woman,36,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:30 UTC,2022-10-19 12:18:27 UTC
I give my consent to take part in the experiment,5d7374d36e3615001782c974,Woman,27,,Always right,Always right,Usually right,Always right,Usually right,Always right,Always right,Always right,Always right,Both equally,2022-10-19 12:16:58 UTC,2022-10-19 12:18:28 UTC
I give my consent to take part in the experiment,5e9889ff768ff6095b48e8db,Man,20,,Always right,Always right,Always right,Always right,Usually right,Both equally,Usually right,Usually right,Usually right,Both equally,2022-10-19 12:17:19 UTC,2022-10-19 12:18:28 UTC
I give my consent to take part in the experiment,60801c084f4234dd058263c6,Man,24,,Always right,Always right,Both equally,Usually right,Both equally,Always right,Usually left,Both equally,Both equally,Both equally,2022-10-19 12:17:33 UTC,2022-10-19 12:18:34 UTC
I give my consent to take part in the experiment,5e6b9c4c45cecd000b7c6c7e,Woman,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually left,Always right,Always right,2022-10-19 12:16:57 UTC,2022-10-19 12:18:40 UTC
I give my consent to take part in the experiment,5d7d467f306346001a7a6844,Man,28,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,Usually right,Usually right,2022-10-19 12:17:09 UTC,2022-10-19 12:18:41 UTC
I give my consent to take part in the experiment,5ef0a7a320e4520009b3af18,Woman,42,,Always left,Always left,Usually left,Always left,Usually left,Always left,Always left,Always left,Always left,Usually left,2022-10-19 12:17:19 UTC,2022-10-19 12:18:41 UTC
I give my consent to take part in the experiment,61695973dbfdf88f736ad5d1,Man,19,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:23 UTC,2022-10-19 12:18:42 UTC
I give my consent to take part in the experiment,5e24d49952f901000a52bc89,Woman,23,,Always right,Always right,Usually right,Usually right,Always right,Usually right,Usually right,Always right,Always right,Both equally,2022-10-19 12:17:20 UTC,2022-10-19 12:18:52 UTC
I give my consent to take part in the experiment,5da1b94dbc285e001676e438,Man,33,,Always right,Always right,Usually right,Usually right,Always right,Usually right,Both equally,Both equally,Both equally,Both equally,2022-10-19 12:17:29 UTC,2022-10-19 12:18:53 UTC
I give my consent to take part in the experiment,60ad18618133abd4e6a13f3d,Man,23,,Always right,Always right,Usually right,Always right,Always right,Usually right,Always right,Always right,Always right,Both equally,2022-10-19 12:17:03 UTC,2022-10-19 12:18:55 UTC
I give my consent to take part in the experiment,5f9d92fc62e2402cbd0e1cfb,Woman,38,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,Always right,Both equally,2022-10-19 12:17:46 UTC,2022-10-19 12:18:58 UTC
I give my consent to take part in the experiment,60d4613121b754739be92895,Man,29,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always left,Always right,2022-10-19 12:17:08 UTC,2022-10-19 12:18:59 UTC
I give my consent to take part in the experiment,5b6f2884c727a90001529ef0,Man,47,,Always left,Always left,Always right,Always right,Always left,Always right,Always left,Always left,Always right,Always right,2022-10-19 12:17:06 UTC,2022-10-19 12:19:01 UTC
I give my consent to take part in the experiment,609c2dcbc88bdd19e0be4b98,Woman,42,,Always right,Always right,Always right,Always right,Both equally,Always right,Both equally,Always left,Always right,Always right,2022-10-19 12:17:06 UTC,2022-10-19 12:19:01 UTC
I give my consent to take part in the experiment,600916bb92179b5ecc406460,Man,23,,Always right,Always right,Usually right,Both equally,Usually right,Usually right,Usually right,Both equally,Usually right,Both equally,2022-10-19 12:17:08 UTC,2022-10-19 12:19:01 UTC
I give my consent to take part in the experiment,63468d8c1547180266ca200c,Man,19,,Always right,Always right,Usually right,Always right,Always right,Always right,Usually right,Always right,Always right,Always right,2022-10-19 12:17:34 UTC,2022-10-19 12:19:02 UTC
I give my consent to take part in the experiment,5c3747496d465f00011a4d21,Woman,29,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:23 UTC,2022-10-19 12:19:03 UTC
I give my consent to take part in the experiment,5d84dcd73b2e8e0016b40450,Woman,22,,Always right,Always right,Always right,Usually right,Usually right,Always right,Usually right,Usually right,Usually right,Usually right,2022-10-19 12:17:52 UTC,2022-10-19 12:19:08 UTC
I give my consent to take part in the experiment,6032cbbac7be4d3360894b86,Man,25,,Always right,Always right,Always right,Always right,Always right,Always left,Always right,Always right,Always right,Both equally,2022-10-19 12:17:41 UTC,2022-10-19 12:19:09 UTC
I give my consent to take part in the experiment,5f773f5c429e260d39fa39e8,Man,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:18:43 UTC,2022-10-19 12:19:12 UTC
I give my consent to take part in the experiment,5f575958009e1a1de016301e,Man,38,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:04 UTC,2022-10-19 12:19:12 UTC
I give my consent to take part in the experiment,5f102f0212ea4f000a8ac9da,Man,53,,Always right,Always right,Always right,Usually right,Always right,Always right,Always right,Always left,Always right,Usually right,2022-10-19 12:17:11 UTC,2022-10-19 12:19:15 UTC
I give my consent to take part in the experiment,62b2d042ae6609abd802aa95,Woman,53,,Always left,Usually left,Both equally,Always left,Usually right,Usually right,Usually right,Usually right,Usually right,Usually right,2022-10-19 12:17:19 UTC,2022-10-19 12:19:15 UTC
I give my consent to take part in the experiment,5f0c5f58f08fe65bd313f561,Man,23,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,2022-10-19 12:17:08 UTC,2022-10-19 12:19:16 UTC
I give my consent to take part in the experiment,5d8a62e934146e001a8ea16d,Man,45,,Always right,Always right,Always right,Always right,Both equally,Always right,Both equally,Always right,Always right,Both equally,2022-10-19 12:17:14 UTC,2022-10-19 12:19:17 UTC
I give my consent to take part in the experiment,5eb0efc1e873f11a7a90daec,Non-binary,22,,Always right,Always right,Usually right,Always right,Both equally,Usually right,Usually right,Usually right,Both equally,Both equally,2022-10-19 12:18:04 UTC,2022-10-19 12:19:17 UTC
I give my consent to take part in the experiment,5f0f6d0101fa9e12d0a3b029,Man,30,,Always right,Always right,Always right,Usually right,Usually right,Always right,Always right,Usually left,Always right,Usually right,2022-10-19 12:17:13 UTC,2022-10-19 12:19:19 UTC
I give my consent to take part in the experiment,5ed22618dd85e700082b5de0,Woman,51,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:22 UTC,2022-10-19 12:19:19 UTC
I give my consent to take part in the experiment,60f5772e83f590a942cb9656,Man,22,,Always right,Always right,Usually right,Always right,Usually right,Both equally,Always right,Usually right,Both equally,Both equally,2022-10-19 12:16:56 UTC,2022-10-19 12:19:29 UTC
I give my consent to take part in the experiment,60e9d7652b1aab5af0812238,Woman,26,,Usually right,Usually right,Usually right,Usually right,Usually right,Usually right,Usually right,Usually right,Usually right,Usually right,2022-10-19 12:17:37 UTC,2022-10-19 12:19:30 UTC
I give my consent to take part in the experiment,5edc3d681a69d49159555f91,Woman,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:18:39 UTC,2022-10-19 12:19:30 UTC
I give my consent to take part in the experiment,6038e63a1713653046ef7482,Woman,39,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:34 UTC,2022-10-19 12:19:31 UTC
I give my consent to take part in the experiment,615b3fcbe06552b583481a65,Woman,24,,Always right,Always right,Usually right,Always right,Usually right,Always right,Both equally,Always left,Always right,Usually right,2022-10-19 12:17:19 UTC,2022-10-19 12:19:33 UTC
I give my consent to take part in the experiment,6090f6323a468814885fca1e,Man,19,,Always right,Always right,Both equally,Always right,Usually right,Usually right,Always right,Both equally,Usually right,Both equally,2022-10-19 12:17:03 UTC,2022-10-19 12:19:36 UTC
I give my consent to take part in the experiment,5fc65d9cc4575b0b47981de8,Man,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:18:17 UTC,2022-10-19 12:19:39 UTC
I give my consent to take part in the experiment,6334d362b96985415825091b,Woman,24,,Always right,Always right,Usually right,Always right,Both equally,Always right,Usually right,Both equally,Always right,Usually right,2022-10-19 12:17:21 UTC,2022-10-19 12:19:52 UTC
I give my consent to take part in the experiment,60e85190b9cffd8fed0a064f,Woman,57,,Always left,Always left,Both equally,Always left,Always left,Usually right,Always left,Always left,Always left,Both equally,2022-10-19 12:17:32 UTC,2022-10-19 12:19:52 UTC
I give my consent to take part in the experiment,60be17bce1456e0796cde161,Woman,24,,Always right,Always right,Always right,Usually right,Usually right,Always right,Usually right,Usually right,Usually right,Usually right,2022-10-19 12:17:25 UTC,2022-10-19 12:19:54 UTC
I give my consent to take part in the experiment,5d96a61b5d0f1c00117201bd,Man,46,,Always right,Always right,Always right,Always right,Always right,Always left,Always right,Always right,Always right,Always right,2022-10-19 12:16:58 UTC,2022-10-19 12:19:57 UTC
I give my consent to take part in the experiment,61687ebcd2a35ffb762d1928,Woman,29,,Always right,Always right,Usually right,Always right,Always right,Always right,Usually right,Usually right,Usually right,Both equally,2022-10-19 12:17:42 UTC,2022-10-19 12:20:03 UTC
I give my consent to take part in the experiment,61090b7186e1761f97308af9,Woman,26,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always left,Always right,Both equally,2022-10-19 12:17:17 UTC,2022-10-19 12:20:03 UTC
I give my consent to take part in the experiment,5fe3932b8d3c668577f04f13,Woman,20,,Always right,Usually right,Both equally,Usually right,Usually right,Always right,Both equally,Usually right,Usually right,Both equally,2022-10-19 12:16:56 UTC,2022-10-19 12:20:08 UTC
I give my consent to take part in the experiment,5f773f5c429e260d39fa39e8,Man,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:19:36 UTC,2022-10-19 12:20:09 UTC
I give my consent to take part in the experiment,5f01b7e94738d231487f2911,Man,31,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,Always right,Usually right,2022-10-19 12:19:50 UTC,2022-10-19 12:20:11 UTC
I give my consent to take part in the experiment,60fc8070ac259dd44fb94150,Woman,25,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Usually right,Always right,Usually right,2022-10-19 12:18:30 UTC,2022-10-19 12:20:21 UTC
I give my consent to take part in the experiment,5ed22618dd85e700082b5de0,Woman,51,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:20:07 UTC,2022-10-19 12:20:32 UTC
I give my consent to take part in the experiment,60b8cc57a75be4b6f93b29d6,Woman,33,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:18:01 UTC,2022-10-19 12:20:33 UTC
I give my consent to take part in the experiment,5eb0efc1e873f11a7a90daec,Non-binary,22,,Always right,Always right,Usually right,Always right,Both equally,Usually right,Usually right,Usually right,Both equally,Both equally,2022-10-19 12:20:03 UTC,2022-10-19 12:20:36 UTC
I give my consent to take part in the experiment,61604fef45ba67dc9f882986,Woman,30,,Always left,Always left,Always left,Always left,Always left,Always left,Always left,Always left,Always left,Always left,2022-10-19 12:17:46 UTC,2022-10-19 12:20:44 UTC
I give my consent to take part in the experiment,61445c984906c1189b057dea,Woman,24,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:16:56 UTC,2022-10-19 12:20:45 UTC
I give my consent to take part in the experiment,5c1e6b9eaf2bd30001ecc163,Man,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:51 UTC,2022-10-19 12:20:48 UTC
I give my consent to take part in the experiment,5e58f6ec7d7be90f814716a8,Man,21,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:54 UTC,2022-10-19 12:20:55 UTC
I give my consent to take part in the experiment,60f962826d3d80158ce7a631,Man,26,,Always left,Always left,Always left,Always left,Always left,Always left,Always left,Always left,Always left,Always left,2022-10-19 12:18:14 UTC,2022-10-19 12:21:14 UTC
I give my consent to take part in the experiment,5d1622f8f7316d0001b6cfec,Man,22,,Always right,Always right,Usually right,Always right,Usually right,Usually right,Always right,Always right,Always right,Both equally,2022-10-19 12:17:10 UTC,2022-10-19 12:21:24 UTC
I give my consent to take part in the experiment,6114c64e70ce0ea9140a2296,Man,20,,Always right,Always right,Always right,Always right,Always right,Always right,Both equally,Always right,Always right,Both equally,2022-10-19 12:16:59 UTC,2022-10-19 12:21:35 UTC
I give my consent to take part in the experiment,5e5c40b5651391430a31975b,Woman,31,,Always right,Always right,Both equally,Usually right,Always right,Always right,Usually right,Usually right,Always right,Both equally,2022-10-19 12:17:23 UTC,2022-10-19 12:21:36 UTC
I give my consent to take part in the experiment,5b27c8498ecf3f000161a4c8,Woman,36,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:58 UTC,2022-10-19 12:21:38 UTC
